תיקייה ראשית,תיקיית משנה,שם קובץ,סוג קובץ,סטטוס,מיקום נוכחי,מיקום מומלץ,קישור Google Drive,הערות
01_PRODUCT,architecture,__Agent_System_Doctrine_v1.docx,docx,קיים,/mnt/project/,01_PRODUCT/architecture/,,
01_PRODUCT,architecture,__Agent_Skill_System_Closed_Spec_v1.docx,docx,קיים,/mnt/project/,01_PRODUCT/architecture/,,
01_PRODUCT,architecture,עקרונות_בניית_תהליך_עבודה_וסקילים.docx,docx,קיים,/mnt/project/,01_PRODUCT/architecture/,,מועבר לפי הכרעת דליה
01_PRODUCT,specs,__Routine_UX_Spec_v1_1_27_04_2026.docx,docx,קיים,/mnt/project/,01_PRODUCT/specs/,,
01_PRODUCT,specs,__Developmental_Expectations_v1_0_27_04_2026.docx,docx,קיים,/mnt/project/,01_PRODUCT/specs/,,
01_PRODUCT,specs,__Siblings_Questions_v1_0_27_04_2026.docx,docx,קיים,/mnt/project/,01_PRODUCT/specs/,,
01_PRODUCT,gold_cases,GOLD_CASE_HOMEWORK_AGE_7_v1.md,md,קיים,/mnt/project/,01_PRODUCT/gold_cases/,,
01_PRODUCT,gold_cases,GOLD_CASE_SIBLING_ATTENTION_HARM_AGE_4_v1.md,md,קיים,/mnt/project/,01_PRODUCT/gold_cases/,,
01_PRODUCT,gold_cases,GOLD_CASE_PLAYSTATION_AGE_6_v1.md,md,חסר,—,01_PRODUCT/gold_cases/,,לא נמצא בפועל
01_PRODUCT,gold_cases,GOLD_CASE_SCREEN_ENDING_AGE_6_v1.md,md,חסר,—,01_PRODUCT/gold_cases/,,לא נמצא בפועל
01_PRODUCT,gold_cases,GOLD_CASE_TWINS_PLAYGROUND_AGE_5_v1.md,md,חסר,—,01_PRODUCT/gold_cases/,,לא נמצא בפועל
01_PRODUCT,gold_cases,GOLD_CASES.md,md,חסר,—,01_PRODUCT/gold_cases/,,development-mapper example
01_PRODUCT,arenas,Arena_Library_v1_0_Completion_15_Arenas.docx,docx,חסר,—,01_PRODUCT/arenas/,,15 זירות. לא נמצא בפועל.
01_PRODUCT,arenas,CANONICAL_ARENA_TRIGGER_BANK_v1_0.md,md,חסר,—,01_PRODUCT/arenas/,,375 triggers. קריטי ל-AI Adapter. לא נמצא בפועל.
01_PRODUCT,arenas,Chores.docx,docx,חסר,—,01_PRODUCT/arenas/,,לא נמצא בפועל
01_PRODUCT,arenas,Screens.docx,docx,חסר,—,01_PRODUCT/arenas/,,לא נמצא בפועל
01_PRODUCT,arenas,Sibling.docx,docx,חסר,—,01_PRODUCT/arenas/,,לא נמצא בפועל
01_PRODUCT,arenas,Sleep.docx,docx,חסר,—,01_PRODUCT/arenas/,,לא נמצא בפועל
01_PRODUCT,arenas,Transitions.docx,docx,חסר,—,01_PRODUCT/arenas/,,לא נמצא בפועל
