תיקייה ראשית,תיקיית משנה,שם קובץ,סוג קובץ,סטטוס,מיקום נוכחי,מיקום מומלץ,קישור Google Drive,הערות
08_ניהול_פרויקט,status,PROJECT_STATUS_AUDIT_v1_0_04_05_2026.docx,docx,פעיל,/mnt/project/,08_ניהול_פרויקט/status/,,
08_ניהול_פרויקט,status,PROJECT_FILE_SYSTEM_v1_0_2026-05-04.docx,docx,פעיל,/mnt/project/,08_ניהול_פרויקט/status/,,
08_ניהול_פרויקט,status,CONVERSATION_FILE_MAPPING_REGISTRY_v1_0_2026-05-04.docx,docx,פעיל,/mnt/project/,08_ניהול_פרויקט/status/,,
08_ניהול_פרויקט,status,MOVE_PLAN.md,md,חדש,/mnt/user-data/outputs/,08_ניהול_פרויקט/status/,,נוצר 10.05.2026
08_ניהול_פרויקט,status,DUPLICATES_REPORT.md,md,חדש,/mnt/user-data/outputs/,08_ניהול_פרויקט/status/,,נוצר 10.05.2026
08_ניהול_פרויקט,status,MANUAL_REVIEW.md,md,חדש,/mnt/user-data/outputs/,08_ניהול_פרויקט/status/,,נוצר 10.05.2026
08_ניהול_פרויקט,status,REPO_AUDIT_SUMMARY.md,md,חדש,/mnt/user-data/outputs/,08_ניהול_פרויקט/status/,,נוצר 10.05.2026
08_ניהול_פרויקט,documentation,KNOWLEDGE_MAP.md,md,פעיל,/mnt/project/,08_ניהול_פרויקט/documentation/,,
08_ניהול_פרויקט,documentation,PROJECT_STATE.md,md,פעיל,/mnt/project/,08_ניהול_פרויקט/documentation/,,
08_ניהול_פרויקט,documentation,SKILLS_INDEX.md,md,פעיל,/mnt/project/,08_ניהול_פרויקט/documentation/,,
08_ניהול_פרויקט,documentation,VERSION_NOTE.md,md,פעיל,/mnt/project/,08_ניהול_פרויקט/documentation/,,
08_ניהול_פרויקט,documentation,PARENT_VOICE_BANK_LOCK_NOTE.md,md,פעיל,/mnt/project/,08_ניהול_פרויקט/documentation/,,
08_ניהול_פרויקט,documentation,SOMATIC_BANK_LOCK_NOTE.md,md,פעיל,/mnt/project/,08_ניהול_פרויקט/documentation/,,
08_ניהול_פרויקט,documentation,template.md,md,MANUAL_REVIEW,/mnt/project/,—,,לא להעביר. דורש זיהוי תוכני.
08_ניהול_פרויקט,documentation,SKILL.md,md,MANUAL_REVIEW,/mnt/project/,—,,לא להעביר. דורש זיהוי תוכני.
08_ניהול_פרויקט,חומרים_לאמיר,—,—,ריק,—,08_ניהול_פרויקט/חומרים_לאמיר/,,
