תיקייה ראשית,תיקיית משנה,שם קובץ,סוג קובץ,סטטוס,מיקום נוכחי,מיקום מומלץ,קישור Google Drive,הערות
99_ARCHIVE,old_versions,Database_Schema_v1_0_04_05_2026.md,md,מועמד לארכיון,/mnt/project/,99_ARCHIVE/old_versions/,,קיים v1.2 פעיל
99_ARCHIVE,old_versions,Skill_Schema_Guardian_v1_0_04_05_2026.md,md,מועמד לארכיון,/mnt/project/,99_ARCHIVE/old_versions/,,קיים v1.2 פעיל
99_ARCHIVE,old_versions,__Runtime_Composer_v1_0_04_05_2026.md,md,מועמד לארכיון,/mnt/project/,99_ARCHIVE/old_versions/,,קיים v1.1 פעיל
99_ARCHIVE,old_versions,__Screen_Packet_Builder_v1_0_04_05_2026.md,md,מועמד לארכיון,/mnt/project/,99_ARCHIVE/old_versions/,,קיים v1.1 פעיל
99_ARCHIVE,old_versions,__Gold_Test_Set_v1_0_1_04_05_2026.md,md,מועמד לארכיון,/mnt/project/,99_ARCHIVE/old_versions/,,קיים v1.0.2 פעיל
99_ARCHIVE,old_versions,Operational_Closure_Pack_v1_4.docx,docx,מועמד לארכיון,/mnt/project/,99_ARCHIVE/old_versions/,,קיים v1.5 פעיל
99_ARCHIVE,old_versions,Independence_Lab_Language_Engine_v1_2__1_.docx,docx,בדיקה ידנית — לא לארכב,/mnt/project/,—,,פער תוכני 22.9KB → 8.5KB
99_ARCHIVE,old_versions,Tagged_Scenarios_Batch_01.docx,docx,בדיקה ידנית — לא לארכב,/mnt/project/,—,,גדול מ-LOCKED. חשד אובדן תוכן.
99_ARCHIVE,old_versions,מעבדת_העצמאות_חזון_v1_0.docx,docx,בדיקה ידנית — לא לארכב,/mnt/project/,—,,פער 20.9KB → 5.7KB
99_ARCHIVE,old_versions,CANONICAL_PARENT_VOICE_BANK_v1_0_PATCHED.docx,docx,בדיקה ידנית — לא לארכב,/mnt/project/,—,,DUPLICATE_IDENTICAL ל-LOCKED
99_ARCHIVE,deprecated,—,—,ריק,—,99_ARCHIVE/deprecated/,,
